dia_ocu,mes_ocu,año_ocu,hora_ocu,depto_ocu,mupio_ocu,tipo_veh,color_veh,modelo_veh,tipo_accidente,marca_veh
15.0,1.0,2013,19.0,8.0,801.0,3.0,4.0,9999.0,2.0,44.0
15.0,1.0,2013,2.0,16.0,1601.0,1.0,10.0,1984.0,2.0,44.0
16.0,1.0,2013,13.0,1.0,101.0,1.0,3.0,9999.0,1.0,13.0
16.0,1.0,2013,16.0,1.0,101.0,2.0,3.0,9999.0,1.0,30.0
16.0,1.0,2013,4.0,1.0,101.0,99.0,99.0,9999.0,2.0,99.0
16.0,1.0,2013,1.0,1.0,101.0,1.0,4.0,2012.0,1.0,40.0
16.0,1.0,2013,7.0,1.0,115.0,12.0,99.0,9999.0,1.0,13.0
16.0,1.0,2013,20.0,5.0,501.0,1.0,3.0,9999.0,1.0,44.0
16.0,1.0,2013,14.0,10.0,1018.0,3.0,1.0,9999.0,3.0,44.0
16.0,1.0,2013,20.0,9.0,902.0,4.0,3.0,9999.0,2.0,2.0
16.0,1.0,2013,19.0,16.0,1601.0,1.0,4.0,9999.0,1.0,37.0
16.0,1.0,2013,11.0,2.0,203.0,3.0,5.0,9999.0,1.0,44.0
16.0,1.0,2013,19.0,7.0,713.0,9.0,1.0,9999.0,1.0,44.0
16.0,1.0,2013,7.0,4.0,406.0,3.0,1.0,9999.0,1.0,44.0
17.0,1.0,2013,0.0,1.0,108.0,1.0,1.0,2012.0,1.0,32.0
17.0,1.0,2013,15.0,1.0,102.0,4.0,1.0,2012.0,1.0,40.0
17.0,1.0,2013,16.0,1.0,101.0,6.0,99.0,9999.0,1.0,99.0
17.0,1.0,2013,13.0,5.0,502.0,1.0,5.0,2007.0,1.0,44.0
17.0,1.0,2013,16.0,6.0,601.0,7.0,7.0,9999.0,1.0,22.0
17.0,1.0,2013,17.0,12.0,1218.0,2.0,6.0,1995.0,2.0,44.0
17.0,1.0,2013,10.0,2.0,201.0,3.0,4.0,1995.0,2.0,37.0
17.0,1.0,2013,16.0,3.0,304.0,5.0,1.0,1986.0,1.0,33.0
17.0,1.0,2013,20.0,1.0,101.0,1.0,10.0,2000.0,1.0,32.0
17.0,1.0,2013,19.0,5.0,501.0,3.0,11.0,9999.0,3.0,44.0
17.0,1.0,2013,22.0,9.0,922.0,4.0,99.0,9999.0,1.0,99.0
17.0,1.0,2013,8.0,16.0,1612.0,14.0,99.0,9999.0,2.0,99.0
18.0,1.0,2013,18.0,1.0,101.0,1.0,2.0,2004.0,1.0,44.0
18.0,1.0,2013,22.0,6.0,614.0,1.0,4.0,9999.0,2.0,32.0
18.0,1.0,2013,2.0,9.0,901.0,9.0,2.0,2007.0,2.0,99.0
18.0,1.0,2013,14.0,9.0,901.0,4.0,3.0,9999.0,1.0,42.0
18.0,1.0,2013,21.0,8.0,802.0,5.0,2.0,9999.0,1.0,23.0
18.0,1.0,2013,12.0,14.0,1401.0,14.0,1.0,2010.0,1.0,2.0
19.0,1.0,2013,23.0,1.0,101.0,4.0,99.0,9999.0,2.0,99.0
19.0,1.0,2013,1.0,1.0,115.0,3.0,2.0,9999.0,2.0,23.0
19.0,1.0,2013,3.0,1.0,101.0,1.0,5.0,9999.0,1.0,99.0
19.0,1.0,2013,13.0,5.0,502.0,1.0,4.0,9999.0,1.0,37.0
19.0,1.0,2013,21.0,6.0,602.0,3.0,4.0,9999.0,2.0,32.0
19.0,1.0,2013,11.0,2.0,201.0,5.0,2.0,9999.0,1.0,19.0
19.0,1.0,2013,20.0,2.0,208.0,3.0,99.0,1989.0,1.0,99.0
